id,Shop,Date,Cost,Base Games,DLCs,Bundle Name
140,GOG,2015-06-27,"4,48€",Her Story,,
141,GOG,2015-06-09,"0,20€",Broken Sword 4: The Angel of Death (Secrets of the Ark),,
142,GOG,2015-06-09,"0,49€",Broken Sword 5: The Serpent's Curse,,
143,"GOG,Obsidian Entertainment",2012-03-12,"40,09€",Pillars of Eternity: Kickstarter Champion Edition,,"Digital Fun Pack, pledged after Kickstarter"
144,GOG,2014-11-07,"0,00€",Little Big Adventure (Relentless: Twinsen's Adventure),,
145,GOG,2014-10-20,"0,00€",Alien Versus Predator Classic 2000,,
146,GOG,2014-06-18,"0,00€",Magrunner: Dark Pulse,,
147,GOG,2014-03-21,"1,33€",Worms 2,,
148,GOG,2012-12-13,"1,17€",Dungeon Keeper Gold,,
149,GOG,2012-12-13,"1,17€",Magic Carpet,,
150,GOG,2012-12-13,"1,17€",Dungeon Keeper 2,,
151,GOG,2012-12-13,"1,17€",Populous: The Beginning,,
152,GOG,2013-12-23,"3,72€",IL-2 Sturmovik: 1946,,
153,GOG,2013-12-23,"2,23€",I Have No Mouth And I Must Scream,,
154,GOG,2013-12-23,"3,72€",Shelter,,
155,GOG,2013-12-23,"6,70€",Don't Starve,,
156,GOG,2013-12-23,"3,72€",Omikron: The Nomad Soul,,
157,GOG,2013-12-07,"2,23€",Trine 2: Complete Story,,
158,GOG,2013-11-22,"2,26€",Wing Commander Privateer 2: The Darkening,,
159,GOG,2013-11-22,"2,26€",Wing Commander: Armada,,
160,GOG,2013-11-22,"2,26€",Wing Commander 5: Prophecy (Gold Edition),,
161,GOG,2013-11-22,"2,26€",Wing Commander: Academy,,
162,GOG,2013-11-09,"3,82€",Race the Sun,,
163,GOG,2013-11-09,"5,73€",Dust: An Elysian Tail,,
164,GOG,2013-11-09,"3,05€",SWAT 3: Tactical Game of the Year Edition,,
165,GOG,2013-11-02,"3,03€",Prince of Persia: The Two Thrones,,
166,GOG,2013-11-02,"3,03€",Prince of Persia: Warrior Within,,
167,GOG,2013-11-02,"3,03€",Prince of Persia,,
168,GOG,2013-11-02,"3,03€",The Settlers 4: Gold Edition,,
169,GOG,2013-11-02,"3,03€",Panzer General 2,,
170,GOG,2013-09-14,"0,00€",Stargunner,,
171,GOG,2013-08-25,"7,62€",Expeditions: Conquistador,,
172,GOG,2013-08-12,"3,06€","Cultures: Northland,Cultures: 8th Wonder of the World",,
173,GOG,2013-06-20,"3,87€",Strike Suit Zero,,
174,GOG,2013-06-20,"3,87€",Signal Ops,,
175,GOG,2013-06-20,"3,87€",The Cat Lady,,
176,GOG,2013-06-20,"3,87€",System Shock 2,,
177,GOG,2013-06-20,"2,32€",Syndicate Wars,,
178,GOG,2013-06-16,"6,12€",The Book of Unwritten Tales,,
179,GOG,2013-06-16,"6,12€",The Book of Unwritten Tales: The Critter Chronicles,,
180,GOG,2013-05-31,"5,90€",Race Driver: GRID,,
181,GOG,2013-05-19,"3,96€",The Settlers 2: 10th Anniversary,,
182,GOG,2013-05-19,"3,96€",The Settlers 3: Ultimate Collection,,
183,GOG,2013-05-11,"3,14€",Primordia,,
184,GOG,2013-04-05,"3,76€",Neverwinter Nights 2: Complete,,
185,GOG,2012-12-24,"3,87€",A New Beginning - Final Cut,,
186,GOG,2012-12-24,"2,32€",Silver,,
187,GOG,2012-12-15,"2,92€",The Real Texas,,
188,GOG,2012-12-14,"3,89€",FTL: Faster Than Light,,
189,GOG,2012-12-14,"5,84€",The Witcher 2: Assassins Of Kings,,
190,GOG,2012-12-14,"1,95€",The Witcher: Enhanced Edition,,
191,GOG,2012-12-13,"0,00€",Duke Nukem 3D: Atomic Edition,,
192,GOG,2012-11-24,"7,88€","Machinarium: Collector's Edition,Resonance,Spacechem,Symphony,To The Moon",,
193,GOG,2012-11-19,"3,19€",S2: Silent Storm Gold Edition,,
194,GOG,2012-11-19,"3,19€","Blitzkrieg,Blitzkrieg: Burning Horizon,Blitzkrieg: Iron Division,Blitzkrieg: Rolling Thunder",,Blitzkrieg Anthology
195,GOG,2012-11-02,"1,91€","Wing Commander,Wing Commander 2: Vengeance of the Kilrathi",,
196,GOG,2012-11-02,"1,91€",Wing Commander 3: Heart of the Tiger,,
197,GOG,2012-11-02,"1,91€",Wing Commander 4: The Price of Freedom,,
198,GOG,2012-10-26,"11,86€",Alan Wake,,
199,GOG,2012-10-26,"5,93€",Legend of Grimrock,,
200,GOG,2012-10-26,"3,95€",Trine: Enchanted Edition,,
201,GOG,2012-10-26,"5,93€",Alan Wake's American Nightmare,,
202,GOG,2012-10-19,"2,34€",Theme Hospital,,
203,GOG,2012-10-19,"0,00€",Warsow,,
204,GOG,2012-10-19,"0,00€",Ultima 4: Quest of the Avatar,,
205,GOG,2012-09-28,"1,56€",Anachronox,,
206,GOG,2012-09-28,"2,61€",Thief Gold,,
207,GOG,2012-09-28,"2,61€",Deus Ex (GOTY Edition),,
208,GOG,2012-09-28,"2,61€",Thief 2: Metal Age,,
209,GOG,2012-09-28,"2,61€",Thief 3: Deadly Shadows,,
210,GOG,2012-08-13,"2,48€",Worms United,,
211,GOG,2012-07-28,"6,25€",Dreamfall: The Longest Journey,,
212,GOG,2012-07-15,"4,15€",Gemini Rue,,
