id,Shop,Date,Cost,Base Games,DLCs,Bundle Name
387,Epic Games,2023-01-19,"0,00€",Epistory - Typing Chronicles,,
388,Epic Games,2023-01-28,"0,00€","Adios,Hell is Others",,
389,Epic Games,2023-02-02,"0,00€","City of Gangsters,Dishonored: Death of the Outsider",,
390,Epic Games,2023-02-11,"0,00€",Recipe For Disaster,,
391,"Fanatical,Steam",2023-02-15,"0,00€","Leisure Suit Larry: Magna Cum Laude—Uncut and Uncensored!,Leisure Suit Larry 1: In the Land of the Lounge Lizards,Leisure Suit Larry 2: Goes Looking For Love (In Several Wrong Places),Leisure Suit Larry 3: Passionate Patti in Pursuit of the Pulsating Pectorals,Leisure Suit Larry 5: Passionate Patti Does a Little Undercover Work,Leisure Suit Larry 6: Shape Up or Slip Out!,Leisure Suit Larry 7: Love for Sail!",,Leisure Suit Larry - Retro Bundle
392,Epic Games,2023-02-17,"0,00€",Warpips,,
393,GOG,2023-02-17,"0,00€","""Biing!: Sex, Intrigue and Scalpels""",,
394,Epic Games,2023-02-23,"0,00€",Duskers,,
395,Steam,2023-03-05,"19,99€",ZERO Sievert,,
396,Epic Games,2023-03-05,"0,00€",Rise of Industry,,
397,Epic Games,2023-03-09,"0,00€",Call of the Sea,,
398,"Fanatical,Steam",2023-03-16,"0,00€",Chenso Club,,
399,Epic Games,2023-03-17,"0,00€","""Warhammer 40,000: Gladius - Relics of War""",,
400,Epic Games,2023-03-23,"0,00€","Chess Ultra,World of Warships",World of Warships - Starter Pack: Ishizuchi,
401,Epic Games,2023-03-31,"0,00€","The Silent Age,Tunche",,
402,Epic Games,2023-04-06,"0,00€","Dying Light - Enhanced Edition,shapez",,
403,"Fanatical,Steam",2023-04-14,"0,00€",Peaky Blinders: Mastermind,,
404,Epic Games,2023-04-21,"0,00€",Beyond Blue,,
405,Epic Games,2023-04-28,"0,00€","Breathedge,Poker Club",,
406,Epic Games,2023-05-06,"0,00€","Against All Odds,Kao the Kangaroo",,
407,"Fanatical,Steam",2023-05-11,"0,00€",Hotshot Racing,,
408,Epic Games,2023-05-18,"0,00€",The Sims 4,"The Sims 4: Jungle Adventure,The Sims 4: Luxury Party Stuff,The Sims 4: Fashion Street Kit",The Sims 4: The Daring Lifestyle Bundle
409,GOG,2023-05-19,"0,00€",Fiendish Freddy's Big Top o' Fun,,
410,GOG,2023-05-25,"0,00€","""Final Liberation: Warhammer Epic 40,000""",,Warhammer Skulls 2023 - Digital Goodie Pack
411,Epic Games,2023-05-25,"0,00€",Fallout: New Vegas - Ultimate Edition,,
412,Steam,2023-06-03,"0,00€",Tell Me Why,,
413,Epic Games,2023-06-03,"0,00€",Midnight Ghost Hunt,,
414,Epic Games,2023-06-09,"0,00€",PAYDAY 2,,
415,"Fanatical,Steam",2023-06-15,"0,00€",Alchemy Garden,,
416,Epic Games,2023-06-15,"0,00€","Guacamelee! Super Turbo Championship Edition,Guacamelee! 2",,
417,GOG,2023-06-21,"0,00€",Hell Division,,
418,GOG,2023-06-26,"0,00€",Ancient Enemy,,
419,Steam,2023-06-26,"8,63€",,Oxygen Not Included - Spaced Out!,
420,Steam,2023-06-26,"0,99€",,Oxygen Not Included Soundtrack,
421,Epic Games,2023-07-01,"0,00€",The Dungeon Of Naheulbeuk: The Amulet Of Chaos,,
422,Epic Games,2023-07-06,"0,00€",GRIME,,
423,Epic Games,2023-07-14,"0,00€",Train Valley 2,,
424,"DLGamer,Steam",2023-07-18,"32,99€",Jagged Alliance 3,,
425,Epic Games,2023-07-21,"0,00€","Murder by Numbers,The Elder Scrolls Online",,
426,Epic Games,2023-07-30,"0,00€","Homeworld 2 Classic,Homeworld 2 Remastered Edition,Homeworld Classic,Homeworld Remastered Edition,Severed Steel",,
427,Epic Games,2023-08-05,"0,00€",Bloons TD 6,,
428,Epic Games,2023-08-10,"0,00€",Orwell: Keeping an Eye On You,,
429,"Fanatical,Steam",2023-08-11,"0,00€",Unity of Command: Stalingrad Campaign,,
430,Epic Games,2023-08-18,"0,00€","Black Book,Dodo Peak",,
431,Epic Games,2023-08-25,"0,00€",Homeworld: Deserts of Kharak,,
432,GOG,2023-08-28,"0,00€",Hero of the Kingdom II,,
433,GOG,2023-09-01,"0,00€",King's Bounty: The Legend,,
434,GOG,2023-09-05,"0,00€",Ghost Master,,
435,Epic Games,2023-09-07,"0,00€",Spelldrifter,,
436,GOG,2023-09-09,"0,00€",Requiem: Avenging Angel,,
437,Epic Games,2023-09-14,"0,00€",911 Operator,,
438,Epic Games,2023-09-22,"0,00€","Out of Line,The Forest Quartet",,
439,Epic Games,2023-10-03,"0,00€","Model Builder,Soulstice",,
440,Epic Games,2023-10-06,"0,00€",Godlike Burger,,
441,Epic Games,2023-10-12,"0,00€","Blazing Sails,Q.U.B.E. 10th Anniversary,Q.U.B.E. 2 Deluxe Edition",,Q.U.B.E. ULTIMATE BUNDLE
442,Epic Games,2023-10-19,"0,00€","Eternal Threads,The Evil Within",,
443,Epic Games,2023-10-26,"0,00€","Tandem: a Tale of Shadows,The Evil Within 2",,
444,"Fanatical,Steam",2023-11-04,"0,00€",Nomad Survival,,
445,Epic Games,2023-11-04,"0,00€",Turnip Boy Commits Tax Evasion,,
446,Epic Games,2023-11-09,"0,00€",Golden Light,,
447,Epic Games,2023-11-16,"0,00€","EARTHLOCK,Surviving the Aftermath",,
448,Epic Games,2023-11-23,"0,00€",Deliver Us Mars,,
449,Steam,2023-11-30,"0,00€",Bitburner,,
450,Epic Games,2023-11-30,"0,00€","Jitsu Squad,Mighty Fight Federation",,
451,Epic Games,2023-12-08,"0,00€","GigaBash,Predecessor",,
452,Epic Games,2023-12-13,"0,00€",Destiny 2: Legacy Collection (2023),,
453,GOG,2023-12-14,"0,00€",Legend of Keepers: Career of a Dungeon Manager,,
454,GOG,2023-12-18,"0,00€",Lost Ruins,,
455,Epic Games,2023-12-20,"0,00€",DNF Duel,,
456,Epic Games,2023-12-21,"0,00€",Melvor Idle,,
457,GOG,2023-12-22,"0,00€",Caveblazers,,
458,Epic Games,2023-12-22,"0,00€",Art of Rally,,
459,Steam,2023-12-23,"5,99€",Mass Effect: Legendary Edition,,
460,Epic Games,2023-12-24,"0,00€",Ghostwire: Tokyo,,
461,Epic Games,2023-12-25,"0,00€",The Outer Worlds: Spacer's Choice Edition,,
462,Epic Games,2023-12-27,"0,00€",Human Resource Machine,,
463,GOG,2023-12-27,"0,00€",Lacuna – A Sci-Fi Noir Adventure,,
464,Epic Games,2023-12-28,"0,00€",Cursed to Golf,,
465,Epic Games,2023-12-29,"0,00€",Cat Quest,,
466,GOG,2023-12-30,"0,00€",South of the Circle,,
467,Epic Games,2023-12-31,"0,00€",Saints Row,,
468,Epic Games,2023-12-31,"0,00€",Ghostrunner,,
469,Epic Games,2024-01-02,"0,00€",20 Minutes Till Dawn,,
470,Epic Games,2024-01-05,"0,00€",Marvel's Guardians of the Galaxy,,
471,GOG,2024-01-05,"0,00€","The Elder Scrolls: Arena,The Elder Scrolls II: Daggerfall,Gloria Victis,Dagon: by H. P. Lovecraft,Betrayer,Daggerfall Unity - GOG Cut,Dink Smallwood HD,Fall of Porcupine: Prologue,Hellpoint: The Thespian Feast,Higurashi When They Cry Hou - Ch.1 Onikakushi,Janosik - Highlander Precision Platformer,Martial Law,Nomads of Driftland,OpenTTD,Our Life: Beginnings & Always,Quake II RTX,Samorost 1,Shores Unknown: Arrival,Sin Slayers: The First Sin,""Symphonia (Student Project, 2020)"",The Darkest Tales - Into the Nightmare,The Life and Suffering of Sir Brante - Chapter 1 & 2,Urbek City Builder Prologue",,
472,Epic Games,2024-01-14,"0,00€",Sail Forth,,
473,Epic Games,2024-01-19,"0,00€",LOVE,,
474,Steam,2024-01-21,"4,99€",Vampire Survivors,,
475,Epic Games,2024-01-26,"0,00€",Infinifactory,,
476,Epic Games,2024-02-01,"0,00€",Doors: Paradox,,
477,GOG,2024-02-01,"0,00€",The Beast Inside,,
478,Epic Games,2024-02-08,"0,00€","Doki Doki Literature Club Plus!,Lost Castle",,
479,GOG,2024-02-14,"0,00€",FlatOut,,
480,Epic Games,2024-02-15,"0,00€",Dakar Desert Rally,,
481,Epic Games,2024-02-20,"0,00€",Free Stars: The Ur-Quan Masters,,
482,Epic Games,2024-02-22,"0,00€",Super Meat Boy Forever,,
483,Epic Games,2024-02-29,"0,00€",Aerial_Knight's Never Yield,,
484,GOG,2024-02-29,"0,00€",Nomads of Driftland: The Forgotten Passage,,
485,Epic Games,2024-03-07,"0,00€",Astro Duel 2,,
486,Epic Games,2024-03-16,"0,00€",Deus Ex: Mankind Divided,,
487,Epic Games,2024-03-16,"0,00€",The Bridge,,
488,GOG,2024-03-23,"0,00€",Book of Demons,,
489,Epic Games,2024-03-23,"0,00€","Call of the Wild: The Angler,Invincible Presents: Atom Eve",,
490,Epic Games,2024-03-29,"0,00€",Islets,,
491,Epic Games,2024-03-30,"0,00€",Hammerting,,
492,Epic Games,2024-04-04,"0,00€",Thief (2014),,
493,Steam,2024-04-19,"1,03€",Project Nimbus: Complete Edition,,
494,Epic Games,2024-04-19,"0,00€","The Big Con,Town of Salem 2",,
495,Epic Games,2024-04-25,"0,00€","INDUSTRIA,LISA: The Definitive Edition",,
496,Epic Games,2024-05-02,"0,00€","Cat Quest II,Orcs Must Die! 3",,
497,Steam,2024-05-11,"13,95€",Root,"Root: The Riverfolk Expansion,Root: The Clockwork Expansion,Root Soundtrack",Root Collector's Edition
498,Epic Games,2024-05-12,"0,00€",Circus Electrique,,
499,Epic Games,2024-05-18,"0,00€",Dragon Age: Inquisition – Game of the Year Edition,,
500,Epic Games,2024-05-23,"0,00€",Farming Simulator 22,,
501,GOG,2024-05-25,"0,00€","""Warhammer 40,000: Gladius - Relics of War""",,
502,Steam,2024-05-31,"0,00€",Talisman: Digital Edition,,
503,Epic Games,2024-05-31,"0,00€",Chivalry 2,,
504,Epic Games,2024-06-06,"0,00€",Marvel's Midnight Suns,,
505,Epic Games,2024-06-14,"0,00€",Redout 2,,
506,Epic Games,2024-06-20,"0,00€",Freshly Frosted,,
507,GOG,2024-06-21,"0,00€",Shadows: Awakening,,
508,Epic Games,2024-06-27,"0,00€",Sunless Skies: Sovereign Edition,,
509,Epic Games,2024-07-05,"0,00€",The Falconeer: Standard Edition,,
510,GOG,2024-07-05,"0,00€",The First Templar - Special Edition,,
511,Steam,2024-07-08,"7,99€",Inscryption,,
512,Epic Games,2024-07-12,"0,00€",Floppy Knights,,
513,Epic Games,2024-07-19,"0,00€","Arcade Paradise,Maid of Sker",,
514,GOG,2024-07-25,"0,00€",,Fallout: London (for Fallout 4 GOTY),
515,Epic Games,2024-08-01,"0,00€","LumbearJack,RAWMEN: Food Fighter Arena",,
516,GOG,2024-08-08,"0,00€",Intravenous,,
517,Epic Games,2024-08-08,"0,00€",CYGNI: All Guns Blazing,,
518,Epic Games,2024-08-15,"0,00€",Death's Gambit: Afterlife,World of Warships — Starter Pack: Albany,
519,Epic Games,2024-08-23,"0,00€","Gigantic: Rampage Edition,The Callisto Protocol",,
520,Steam,2024-08-28,"0,00€",Tales of Fablecraft,,
521,Epic Games,2024-08-30,"0,00€","Fallout,Fallout 2,Fallout Tactics",,Fallout Classic Collection
522,Epic Games,2024-08-30,"0,00€",Wild Card Football,,
523,"Humble Store,Steam",2024-08-30,"9,08€","Paradise Killer,The Darkside Detective,IMMORTALITY,Killer Frequency,Call of Cthulhu,The Darkside Detective: A Fumble In The Dark,Overboard!",,Humble Detectives Bundle
524,GOG,2024-09-03,"0,00€",Once Upon a Jester,,
525,Epic Games,2024-09-06,"0,00€","Football Manager 2024,Sniper Ghost Warrior Contracts",,
526,Steam,2024-09-09,"0,00€",Deadlock (playtest),,
527,Epic Games,2024-09-16,"0,00€","Rugrats: Adventures in Gameland,Super Crazy Rhythm Castle",,
528,Steam,2024-09-17,"0,00€",.Forty-Five,,
529,Epic Games,2024-09-23,"0,00€","TOEM,The Last Stand: Aftermath",,
530,GOG,2024-09-23,"0,00€","Crusader Kings II,Bloody Hell,Bullet Runner: The First Slaughter,Destroy All Humans! Clone Carnage,Flashout 3D: Enhanced Edition,Gravewood High,Phoning Home,Samsara Room,The Supper,Wolfenstein: Enemy Territory",,
531,Epic Games,2024-09-27,"0,00€",The Spirit and the Mouse,,
532,Epic Games,2024-10-03,"0,00€",Bear and Breakfast,,
533,GOG,2024-10-03,"0,00€",Whispering Willows,,
534,Epic Games,2024-10-10,"0,00€","Empyrion - Galactic Survival,Outliver: Tribulation",,
535,Epic Games,2024-10-17,"0,00€",Kardboard Kings,,
536,Epic Games,2024-10-31,"0,00€",Witch It,,
537,GOG,2024-10-31,"0,00€",Return of the Phantom,,
538,Epic Games,2024-11-07,"0,00€",Deceive Inc.,,
539,Epic Games,2024-11-14,"0,00€","Castlevania Anniversary Collection,Snakebird Complete",,
540,Steam,2024-11-16,"0,00€","Team Fortress 2,Dota 2",,
541,GOG,2024-11-17,"0,00€",Diggles: The Myth of Fenris,,
542,Epic Games,2024-11-21,"0,00€",Beholder,,
543,Epic Games,2024-11-28,"0,00€",Brotato,,
576,GOG,2024-11-29,"0,00€",Oaken,,
609,Steam,2024-12-02,"23,16€","I Expect You To Die 2: The Spy and the Liar,I Expect You To Die 3: Cog in the Machine",,I Expect You To Die Trilogy Bundle
642,Epic Games,2024-12-05,"0,00€","Bus Simulator 21 Next Stop,LEGO Star Wars: The Skywalker Saga",,
675,Epic Games,2024-12-12,"0,00€",The Lord of the Rings: Return to Moria,,
708,GOG,2024-12-19,"0,00€",Chicken Assassin: Reloaded,,
709,Epic Games,2024-12-19,"0,00€",Vampire Survivors,,
741,Steam,2024-12-20,"0,00€",Aircar,,
774,Epic Games,2024-12-21,"0,00€",TerraTech,,
775,Epic Games,2024-12-22,"0,00€",Wizard of Legend,,
807,Epic Games,2024-12-24,"0,00€",DREDGE,,
840,Epic Games,2024-12-27,"0,00€",Ghostrunner 2,,
841,Epic Games,2024-12-28,"0,00€",HOT WHEELS UNLEASHED,,
842,Epic Games,2024-12-28,"0,00€",KILL KNIGHT,,
843,GOG,2024-12-28,"0,00€",The Dark Eye - Chains of Satinav,,
844,Epic Games,2024-12-30,"0,00€",[REDACTED],,
845,GOG,2024-12-31,"0,00€",Vambrace: Cold Soul,,
846,Epic Games,2024-12-31,"0,00€",Sifu,,
848,Epic Games,2025-01-01,"0,00€",Kingdom Come: Deliverance,,
849,Epic Games,2025-01-02,"0,00€",Hell Let Loose,,
873,Epic Games,2025-01-09,"0,00€",Turmoil,,
906,Epic Games,2025-01-16,"0,00€",Escape Academy,,
939,Epic Games,2025-01-23,"0,00€",Behind the Frame: The Finest Scenery,,
972,Epic Games,2025-01-30,"0,00€",Undying,,
1005,Epic Games,2025-02-06,"0,00€",HUMANKIND,,
1038,Epic Games,2025-02-13,"0,00€",F1 Manager 2024,,
1071,Epic Games,2025-02-20,"0,00€","Garden Story,World War Z: Aftermath",,
1104,Epic Games,2025-03-14,"0,00€",,World of Warships - Anniversary Party Favor,
1137,Steam,2025-03-15,"10,79€",Detroit: Become Human,,Quantic Dream Collection
1138,Steam,2025-03-15,"4,49€",Beyond: Two Souls,,Quantic Dream Collection
1139,Steam,2025-03-15,"1,79€",Heavy Rain,,Quantic Dream Collection
1140,Steam,2025-03-15,"1,79€",Fahrenheit: Indigo Prophecy Remastered,,Quantic Dream Collection
1170,Epic Games,2025-03-20,"0,00€",Jurassic World Evolution 2,,
1203,GOG,2025-03-22,"0,00€",Amerzone: The Explorer's Legacy (1999),,
1236,Epic Games,2025-03-27,"0,00€","""Neko Ghost, Jump!""",,
1269,Epic Games,2025-04-10,"0,00€",River City Girls,,
1302,Epic Games,2025-04-17,"0,00€",Botanicula,,
1335,Epic Games,2025-04-24,"0,00€",CHUCHEL,,
1368,Epic Games,2025-05-01,"0,00€",Super Space Club,,
1401,Epic Games,2025-05-08,"0,00€","Deadtime Defenders,Touch Type Tale",,
1434,Epic Games,2025-05-15,"0,00€","Dead Island 2,Happy Game",,
1467,Epic Games,2025-05-22,"0,00€","Deliver At All Costs,Gigapocalypse",,
1500,Epic Games,2025-05-29,"0,00€","LIMBO,Tiny Tina's Wonderlands",,
1533,Epic Games,2025-06-05,"0,00€","DEATHLOOP,Ogu and the Secret Forest",,
1566,Epic Games,2025-06-12,"0,00€",Two Point Hospital,,
1599,Epic Games,2025-06-20,"0,00€",The Operator,,
1632,Epic Games,2025-06-27,"0,00€",Sable,,
1665,Steam,2025-06-29,"8,99€",Valheim,,
1698,Epic Games,2025-07-07,"0,00€",Backpack Hero,,
1731,Epic Games,2025-07-12,"0,00€","Figment 2: Creed Valley,Sky Racket",,
1764,Epic Games,2025-07-18,"0,00€",Sid Meier’s Civilization VI: Platinum Edition,,
1797,Epic Games,2025-07-25,"0,00€",Legion TD 2,,
1830,Epic Games,2025-08-01,"0,00€","Keylocker | Turn Based Cyberpunk Action,Pilgrims",,
1863,Epic Games,2025-08-07,"0,00€","112 Operator,Road Redemption",,
1896,Epic Games,2025-08-15,"0,00€",Hidden Folks,,
1929,GOG,2025-08-16,"8,00€",Disco Elysium - The Final Cut,,
1962,Epic Games,2025-08-26,"0,00€","Kamaeru: A Frog Refuge,Strange Horticulture",,
1995,Epic Games,2025-08-28,"0,00€","Machinarium,Make Way",,
2028,GOG,2025-09-03,"0,00€",,SWAT: Elite Force,
2061,Epic Games,2025-09-04,"0,00€",Monument Valley,,
2094,Epic Games,2025-09-11,"0,00€","Monument Valley 2,The Battle of Polytopia",,
2127,Epic Games,2025-09-18,"0,00€","Project Winter,Samorost 2",,
2160,Epic Games,2025-09-27,"0,00€","Eastern Exorcist,Jorel’s Brother and The Most Important Game of the Galaxy",,
2193,Epic Games,2025-10-02,"0,00€",Nightingale,,
2226,Epic Games,2025-10-09,"0,00€",Gravity Circuit,,
2259,Microsoft Store,2025-10-11,"26,61€",Microsoft Flight Simulator 2024: Standard Edition,,
2292,Epic Games,2025-10-17,"0,00€","Amnesia: The Bunker,Samorost 3",,
2325,Epic Games,2020-11-20,"0,00€",Elite Dangerous,,
2358,Epic Games,2025-10-23,"0,00€",Fear the Spotlight,,
2391,Epic Games,2025-10-30,"0,00€","Bendy and the Ink Machine,Five Nights at Freddy's: Into the Pit",,
2424,Epic Games,2025-11-13,"0,00€","ScourgeBringer,Songs of Silence,Zero Hour",,
